name,photo_url
Lionel Messi,http://commons.wikimedia.org/wiki/Special:FilePath/Lionel%20Messi%20NE%20Revolution%20Inter%20Miami%207.9.25-055.jpg
Lionel Messi,http://commons.wikimedia.org/wiki/Special:FilePath/Lionel%20Messi%20NE%20Revolution%20Inter%20Miami%207.9.25-055.jpg
Rafael Nadal,http://commons.wikimedia.org/wiki/Special:FilePath/Rafael%20Nadal%20en%202024%20%28cropped%29.jpg
Kylian Mbappé,http://commons.wikimedia.org/wiki/Special:FilePath/2019-07-17%20SG%20Dynamo%20Dresden%20vs.%20Paris%20Saint-Germain%20by%20Sandro%20Halank%E2%80%93129%20%28cropped%29.jpg
Lewis Hamilton,http://commons.wikimedia.org/wiki/Special:FilePath/Lewis%20Hamilton%202022%20S%C3%A3o%20Paulo%20Grand%20Prix%20%2852498120773%29%20%28cropped%29.jpg
Karim Benzema,http://commons.wikimedia.org/wiki/Special:FilePath/Karim%20Benzema%20wearing%20Real%20Madrid%20home%20kit%202021-2022.jpg
Wayne Rooney,http://commons.wikimedia.org/wiki/Special:FilePath/Wayne-Rooney-2015-10-21.jpg
Antoine Griezmann,http://commons.wikimedia.org/wiki/Special:FilePath/Antoine%20Griezmann%202018.jpg
Paul Pogba,http://commons.wikimedia.org/wiki/Special:FilePath/FRA-ARG%20%2811%29%20-%20Paul%20Pogba%20%28cropped%202%29.jpg
Gareth Bale,http://commons.wikimedia.org/wiki/Special:FilePath/2022%20FIFA%20World%20Cup%20United%20States%201%E2%80%931%20Wales%20-%20%2832%29%20%28cropped%29.jpg
Gerard Piqué,http://commons.wikimedia.org/wiki/Special:FilePath/GerardPique.jpg
Harry Kane,http://commons.wikimedia.org/wiki/Special:FilePath/Harry%20Kane%202023.jpg
Sergio Ramos,http://commons.wikimedia.org/wiki/Special:FilePath/Sergio%20Ramos%20Interview%202021%20%28cropped%29.jpg
Andy Murray,http://commons.wikimedia.org/wiki/Special:FilePath/Andy%20Murray%20%2844087043305%29.jpg
Andy Murray,http://commons.wikimedia.org/wiki/Special:FilePath/Murray%20A.%20REN21%20%281%29%20%2851602037818%29.jpg
Andy Murray,http://commons.wikimedia.org/wiki/Special:FilePath/2015%20Australian%20Open%20-%20Andy%20Murray%2012%20%28cropped%29.jpg
Mario Balotelli,http://commons.wikimedia.org/wiki/Special:FilePath/Mario%20Balotelli%20%2815440231808%29%20%28cropped%29%20%28cropped%29.jpg
James Rodríguez,http://commons.wikimedia.org/wiki/Special:FilePath/James%20al%20natural%20-%20Series%2C%2002.jpg
Olivier Giroud,http://commons.wikimedia.org/wiki/Special:FilePath/Olivier%20Giroud%202018.jpg
Cesc Fàbregas,http://commons.wikimedia.org/wiki/Special:FilePath/2023%20-%20Cesc%20Fabregas%20%28cropped%29.jpg
Ángel Di María,http://commons.wikimedia.org/wiki/Special:FilePath/NIG-ARG%20%285%29.jpg
Sergio Busquets,http://commons.wikimedia.org/wiki/Special:FilePath/Sergio%20Busquets%202018%20%28cropped%29.jpg
David de Gea,http://commons.wikimedia.org/wiki/Special:FilePath/David%20de%20Gea%202017.jpg
Hugo Lloris,http://commons.wikimedia.org/wiki/Special:FilePath/Lloris%202018%20%28cropped%29.jpg
Marcelo,http://commons.wikimedia.org/wiki/Special:FilePath/20180610%20FIFA%20Friendly%20Match%20Austria%20vs.%20Brazil%20Marcelo%20850%201622.jpg
Marcus Rashford,http://commons.wikimedia.org/wiki/Special:FilePath/Marcus%20Rashford%2C%20FWC%202018%20-%20Round%20of%2016%20-%20COL%20v%20ENG%20-%20Photo%20106%20%28cropped%29.jpg
Jordi Alba,http://commons.wikimedia.org/wiki/Special:FilePath/Russia-Spain%202017%20%2811%29.jpg
Paulo Dybala,http://commons.wikimedia.org/wiki/Special:FilePath/2017%20FRIENDLY%20MATCH%20RUSSIA%20v%20ARGENTINA%20-%20Paulo%20Dybala%2001.jpg
Raphaël Varane,http://commons.wikimedia.org/wiki/Special:FilePath/Rapha%C3%ABl%20Varane%202018%20%28cropped%29.jpg
David Silva,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Silva%20Euro%202012%20vs%20France%2001.jpg
Philippe Coutinho,http://commons.wikimedia.org/wiki/Special:FilePath/20180610%20FIFA%20Friendly%20Match%20Austria%20vs.%20Brazil%20Philippe%20Coutinho%20850%201692.jpg
Lamine Yamal,http://commons.wikimedia.org/wiki/Special:FilePath/Lamine%20Yamal%20a%20Xina%20%282025%29.png
Casemiro,http://commons.wikimedia.org/wiki/Special:FilePath/20180610%20FIFA%20Friendly%20Match%20Austria%20vs.%20Brazil%20Casemiro%20850%201575.jpg
Gonzalo Higuaín,http://commons.wikimedia.org/wiki/Special:FilePath/Higua%C3%ADn%2020180626.jpg
Raheem Sterling,http://commons.wikimedia.org/wiki/Special:FilePath/Raheem%20Sterling%202018.jpg
Juan Mata,http://commons.wikimedia.org/wiki/Special:FilePath/Zarya-MU%20%2810%29.jpg
Diego Costa,http://commons.wikimedia.org/wiki/Special:FilePath/Iran%20and%20Spain%20match%20at%20the%20FIFA%20World%20Cup%2023.jpg
Vinicius Júnior,http://commons.wikimedia.org/wiki/Special:FilePath/Vinicius%20Jr%202021.jpg
Jordan Henderson,http://commons.wikimedia.org/wiki/Special:FilePath/FWC%202018%20-%20Round%20of%2016%20-%20COL%20v%20ENG%20-%20J%20Henderson.jpg
Keylor Navas,http://commons.wikimedia.org/wiki/Special:FilePath/Keylor%20Navas%202018%20%28cropped%29.jpg
N'Golo Kanté,http://commons.wikimedia.org/wiki/Special:FilePath/N%27Golo%20Kant%C3%A9%20%28cropped%29.jpg
Aaron Ramsey,http://commons.wikimedia.org/wiki/Special:FilePath/Aaron%20Ramsey%202019.jpg
Pierre-Emerick Aubameyang,http://commons.wikimedia.org/wiki/Special:FilePath/1%20Pierre-Emerick%20Aubameyang%20%28cropped%29.jpg
Álvaro Morata,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%81lvaro%20Morata.jpg
Dani Carvajal,http://commons.wikimedia.org/wiki/Special:FilePath/UEFA%20EURO%20qualifiers%20Sweden%20vs%20Spain%2020191015%20Dani%20Carvajal%2010%20%28cropped%29.jpg
Leonardo Bonucci,http://commons.wikimedia.org/wiki/Special:FilePath/20150616%20-%20Portugal%20-%20Italie%20-%20Gen%C3%A8ve%20-%20Leonardo%20Bonucci.jpg
Pierre-Emerick Aubameyang,http://commons.wikimedia.org/wiki/Special:FilePath/1%20Pierre-Emerick%20Aubameyang%20%28cropped%29.jpg
Ashley Young,http://commons.wikimedia.org/wiki/Special:FilePath/Ashley%20Young%202018-06-13%201.jpg
Jude Bellingham,http://commons.wikimedia.org/wiki/Special:FilePath/25th%20Laureus%20World%20Sports%20Awards%20-%20Red%20Carpet%20-%20Jude%20Bellingham%20-%20240422%20190551-2%20%28cropped%29.jpg
Ousmane Dembélé,http://commons.wikimedia.org/wiki/Special:FilePath/Ousmane%20Demb%C3%A9l%C3%A9%202018%20%28cropped%29.jpg
Samuel Umtiti,http://commons.wikimedia.org/wiki/Special:FilePath/Samuel%20Umtiti%202018.jpg
Theo Walcott,http://commons.wikimedia.org/wiki/Special:FilePath/Theo%20Walcott%20happy%20with%20his%20goal%21%201%20%2816501335572%29%20%28cropped%29.jpg
Harry Maguire,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Prime%20Minister%20visits%20St%20George%27s%20Park%20-%2053248339219%20%28cropped%29.jpg
